point;utm;zone;long;lat;design;elev;habitat;habitat_name;interval;issues;REV STATUS
0;47T 0466774 4723329;47T;466774;4723329;Grid;;18;Higher and intermediate dry steppe/ shrub communities;;no images;Not installed-no images
1;47T 0488274 4723329;47T;488274;4723329;Grid;1505;34;Salty haloxylon semi-desert;20;;Checked
2;47T 0509774 4723329;47T;509774;4723329;Grid;1169;18;Higher and intermediate dry steppe/ shrub communities;20;trigger mode;Checked
3;47T 0531274 4723329;47T;531274;4723329;Grid;1256;34;Salty haloxylon semi-desert;680;timelapse cycle 23 h 20 m;Checked
4;47T 0294774 4744829;47T;294774;4744829;Grid;1222;33;Haloxylon semi-desert;20;stopped 26 June;Checked
5;47T 0316274 4744829;47T;316274;4744829;Grid;1459;18;Higher and intermediate dry steppe/ shrub communities;20;stopped 9 June;Checked
6;47T 0337774 4744829;47T;337774;4744829;Grid;1328;33;Haloxylon semi-desert;;no images;no images
7;47T 0359274 4744829;47T;359274;4744829;Grid;1224;29;Nitraria salt shrubs;20;;Checked
8;47T 0380774 4744829;47T;380774;4744829;Grid;1248;33;Haloxylon semi-desert;20;;Checked
9;47T 0402274 4744829;47T;402274;4744829;Grid;1242;18;Higher and intermediate dry steppe/ shrub communities;20;;Checked
10;47T 0423774 4744829;47T;423774;4744829;Grid;1242;34;Salty haloxylon semi-desert;;no images;no images
11;47T 0509774 4744829;47T;509774;4744829;Grid;1386;18;Higher and intermediate dry steppe/ shrub communities;;no images;no images
12;47T 0531274 4744829;47T;531274;4744829;Grid;1277;18;Higher and intermediate dry steppe/ shrub communities;20;;Checked
13;47T 0294774 4766329;47T;294774;4766329;Grid;1398;18;Higher and intermediate dry steppe/ shrub communities;20;;Checked
14;47T 0316274 4766329;47T;316274;4766329;Grid;1457;18;Higher and intermediate dry steppe/ shrub communities;20;;Checked
15;47T 0337774 4766329;47T;337774;4766329;Grid;1382;33;Haloxylon semi-desert;20;mark on lens (otherwise OK);Checked
16;47T 0359274 4766329;47T;359274;4766329;Grid;1406;18;Higher and intermediate dry steppe/ shrub communities;20;multiple folders;Checked
