Station,CameraID,ImageID,Date,Time,Species,Count,Sex,Age
R1,LSL76,PTDC0001,16/04/2019,16:35,Human,1,-,-
R1,ZSL76,PTDC3886,07/09/2019,19:29,Bird,1,-,-
R1,ZSL76,PTDC4318,19/07/2019,08:42,Bird,1,-,-
R1,ZSL76,PTDC4320,19/07/2019,08:44,Bird,1,-,-
R2,ZS44,PTDC0001,16/04/2019,18:10:26,Human,1,1M,-
R2,ZS44,PTDC0002,16/04/2019,18:10:40,Human,1,1M,-
R3,ZL70,-,-,-,-,-,-,-
R4,ZL55,PTDC0001,15/04/2019,11:45:03,Human,1,1M,-
R5,ZL89,PTDC0001,15/04/2019,09:46:24,Human,1,1F,-
R7,ZS90,-,-,-,-,-,-,-
R8,ZS53,PTDC0073,17/04/2019,09:40:00,Bird,1,-,-
R9,ZSL68,PTDC0001,17/04/2019,18:54:43,Human,1,1M,-
R9,ZSL68,PTDC0002,17/04/2019,18:55:46,Human,3,1M,-
R9,ZSL68,PTDC0003,17/04/2019,18:55:59,Human,2,1M,-
R9,ZSL68,PTDC0004,17/04/2019,18:56:13,Human,2,1M,-
R9,ZSL68,PTDC0005,17/04/2019,18:56:26,Human,1,1M,-
R9,ZSL68,PTDC0006,17/04/2019,18:56:44,Human,1,1M,-
R9,ZSL68,PTDC0007,17/04/2019,18:56:57,Human,1,1M,-
R9,ZSL68,PTDC0008,17/04/2019,18:57:29,Human,1,1M,-
R9,ZSL68,PTDC0009,17/04/2019,18:57:43,Human,1,1M,-
R9,ZSL68,PTDC2338,06/06/2019,05:40:00,Gazella subgutturosa,2,1F/1M,2A
R9,ZSL68,PTDC2339,06/06/2019,05:41:02,Gazella subgutturosa,2,1F/1M,2A
R9,ZSL68,PTDC2340,06/06/2019,05:41:19,Gazella subgutturosa,2,1F/1M,2A
R9,ZSL68,PTDC2631,06/12/2019,07:40:00,Gazella subgutturosa,1,-,-
R9,ZSL68,PTDC2781,15/06/2019,09:20:00,unknown animal,1,-,-
R9,ZSL68,PTDC3153,23/06/2019,08:17:51,unknown animal,1,-,-
R9,ZSL68,PTDC3161,23/06/2019,09:10:00,unknown animal,1,-,-
R9,ZSL68,PTDC3411,28/06/2019,09:40:00,unknown animal,1,-,-
R9,ZSL68,PTDC3671,07/03/2019,08:02:36,Gazella subgutturosa,1,1M,1A
R9,ZSL68,PTDC6294,27/08/2019,09:54:08,unknown animal,1,-,-
R9,ZSL68,PTDC6474,31/08/2019,06:46:13,Bird,1,-,-
R9,ZSL68,PTDC6487,31/08/2019,09:46:31,Bird,1,-,-
R9,ZSL68,PTDC6488,31/08/2019,09:46:53,Bird,1,-,-
R9,ZSL68,PTDC7009,09/11/2019,13:35:58,Bird,1,-,-
R9,ZSL68,PTDC8910,22/10/2019,14:03:12,Human,2,2M,2A
R12,ZS59,PTDC0001,15/04/2019,18:36:21,Human,1,1M,1A
R12,ZS59,PTDC0566,25/04/2019,05:00:00,unknown animal,1,-,-
R12,ZS59,PTDC3127,21/06/2019,12:51:10,Gazella subgutturosa,1,1F,1A
R12,ZS59,PTDC5171,08/04/2019,08:23:28,unknown animal,1,-,-
R12,ZS59,PTDC5730,16/08/2019,09:26:03,Bird,1,-,1Y
R12,ZS59,PTDC5783,17/08/2019,10:33:26,Bird,1,-,-
R12,ZS59,PTDC5812,17/08/2019,19:36:58,Bird,1,-,-
R12,ZS59,PTDC6013,22/08/2019,09:03:13,Bird,1,-,-
R12,ZS59,PTDC6115,24/08/2019,10:23:56,Bird,1,-,-
R12,ZS59,PTDC6117,24/08/2019,10:24:55,Bird,1,-,-
R12,ZS59,PTDC6296,28/08/2019,07:35:55,Bird,1,-,-
R12,ZS59,PTDC6383,29/08/2019,19:26:03,Bird,1,-,-
R12,ZS59,PTDC6394,30/08/2019,07:33:17,Bird,1,-,-
R12,ZS59,PTDC6402,30/08/2019,09:53:00,Bird,1,-,-
R12,ZS59,PTDC6403,30/08/2019,09:53:10,Bird,1,-,-
R12,ZS59,PTDC6610,09/03/2019,14:21:22,Hymenoptera,1,-,-
R12,ZS59,PTDC6655,09/04/2019,13:01:15,Hymenoptera,1,-,-
R12,ZS59,PTDC6670,09/04/2019,17:28:33,Bird,1,-,-
R12,ZS59,PTDC6933,09/10/2019,11:40:32,Bird,1,-,-
R12,ZS59,PTDC6934,09/10/2019,11:40:52,Bird,1,-,-
R12,ZS59,PTDC7239,16/09/2019,19:01:34,Bird,1,-,-
R12,ZS59,PTDC7251,17/09/2019,07:29:08,Bird,1,-,-
R12,ZS59,PTDC7448,21/09/2019,10:38:04,Bird,1,-,-
R12,ZS59,PTDC7495,22/09/2019,10:38:59,Ovis ammon,1,1F,1A
R12,ZS59,PTDC7496,22/09/2019,10:39:09,Ovis ammon,1,1F,1A
R12,ZS59,PTDC7497,22/09/2019,10:39:20,Ovis ammon,2,2F,1A
R12,ZS59,PTDC7633,25/09/2019,09:31:45,Ovis ammon,2,2M,2A
R12,ZS59,PTDC7634,25/09/2019,09:31:54,Ovis ammon,2,2M,2A
R12,ZS59,PTDC7635,25/09/2019,09:32:04,Ovis ammon,2,2M,2A
R12,ZS59,PTDC7636,25/09/2019,09:40:00,Ovis ammon,1,1M,1A
R12,ZS59,PTDC8745,19/10/2019,11:00:00,Ovis ammon,2,1M/1F,2A
R12,ZS59,PTDC8746,19/10/2019,11:00:10,Ovis ammon,2,1M/1F,2A
